ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0,15,11,21407,1796,251,4649,6896,10980,4649
1,839,55,21407,1796,60,274,38,10980,274
1,15,8,498,231,36,42,5,1287,42
1,2,41,21407,2547,47,3583,1244,10980,3583
1,5,25,21407,1295,278,4649,1244,10980,4649
1,4,3,375,321,159,24,222,2690,24
1,484,15,21407,4424,38,38,419,941,38
1,7,13,21407,2641,95,288,34,783,288
1,29,13,36,36,211,774,8,2400,774
1,1,2,140,140,122,64,2,224,64
1,19,15,21407,2641,267,121,25,1294,121
1,484,38,21407,3945,317,35,80,190,35
1,4,20,21407,1665,95,4649,282,10980,4649
1,1,23,21407,1665,84,4649,6896,10980,4649
1,839,14,21407,4424,366,3583,6896,10980,3583
1,16,44,21407,4424,501,1772,29,10980,1772
0,65,7,269,83,597,1043,22,2636,1043
1,2,37,21407,971,96,196,199,10980,196
1,7,19,21407,3945,41,107,155,294,107
0,8,3,112,185,659,329,7,1318,329
1,8,12,43,43,763,1043,128,2636,1043
1,186,28,21407,3945,501,1772,6896,10980,1772
1,404,13,171,171,1135,1256,333,2636,1256
1,3,4,21407,397,4,384,1,2400,384
1,10,24,21407,1665,178,196,6896,10980,196
1,3,24,21407,1796,128,185,2,449,185
1,4,42,21407,3945,90,4649,6896,10980,4649
1,1,52,21407,971,111,147,22,384,147
1,839,23,400,295,37,597,153,1287,597
1,10,6,129,129,1135,1256,333,2636,1256
1,50,14,190,190,91,394,25,1318,394
1,34,4,295,93,546,806,670,2400,806
1,2,12,21407,3945,292,154,211,1294,154
1,23,2,86,86,1135,806,670,2400,806
1,7,3,70,70,546,1256,530,2636,1256
1,6,5,282,209,52,10,174,181,10
1,1,8,149,149,37,53,5,241,53
1,7,19,21407,2641,140,566,133,1287,566
1,12,26,21407,1665,206,4649,6896,10980,4649
0,186,16,21407,4424,601,274,199,10980,274
1,409,2,498,267,251,467,80,892,467
1,1,5,375,26,22,124,155,294,124
1,9,45,21407,4424,525,1772,6896,10980,1772
1,186,9,21407,2547,532,217,34,10980,217
1,3,8,160,84,128,175,2,892,175
1,220,5,234,151,1135,1043,24,2636,1043
1,67,5,269,111,546,1256,530,2636,1256
1,62,20,21407,1796,173,63,22,115,63
1,2,11,21407,4424,601,274,30,10980,274
1,299,32,21407,4424,54,566,665,1287,566
1,2,23,21407,4424,162,3583,6896,10980,3583
1,62,26,721,721,79,196,199,10980,196
1,1,22,21407,1567,325,521,8,941,521
1,1,5,742,489,501,3583,6896,10980,3583
1,409,9,21407,1796,128,34,15,493,34
1,16,17,21407,2641,43,9,6,1294,9
1,4,14,21407,2547,69,85,12,465,85
1,8,6,21407,1665,19,55,4,150,55
1,32,5,221,221,1135,806,114,2400,806
1,1,21,721,721,296,4649,6896,10980,4649
1,2,9,21407,2641,40,60,4,412,60
1,25,8,118,50,32,384,5,2400,384
1,19,35,21407,1665,122,185,13,449,185
1,34,2,295,113,546,806,670,2400,806
0,19,8,291,291,24,329,26,1318,329
1,2,2,26,26,546,1256,530,2636,1256
1,6,6,21407,2547,150,27,11,181,27
1,839,3,375,321,55,3583,6896,10980,3583
1,409,51,21407,4424,300,467,26,892,467
1,45,15,334,334,61,121,33,1294,121
1,299,29,21407,1796,90,1772,6896,10980,1772
1,5,16,21407,2641,97,3583,6896,10980,3583
1,2,4,21407,971,85,3583,6896,10980,3583
1,3,34,21407,1665,81,4649,282,10980,4649
1,11,10,58,58,37,201,225,384,201
1,45,5,221,221,1135,806,114,2400,806
1,4,26,21407,2547,532,4649,6896,10980,4649
1,1,47,21407,1295,64,147,17,384,147
1,299,16,21407,2547,532,566,665,1287,566
0,2,21,21407,2547,106,176,9,892,176
1,10,61,21407,2547,335,1772,128,10980,1772
1,9,27,21407,2641,435,175,202,892,175
1,2,33,21407,1295,278,4649,282,10980,4649
1,409,12,498,267,28,289,7,465,289
1,204,82,21407,4424,72,274,199,10980,274
1,1,44,21407,4424,501,4649,6896,10980,4649
1,37,16,119,119,597,28,21,160,28
1,4,31,21407,4424,183,3583,1244,10980,3583
0,7,21,21407,1665,72,3583,6896,10980,3583
1,1,17,21407,1567,93,1772,202,10980,1772
1,65,2,105,105,546,1256,530,2636,1256
1,3,55,21407,4424,140,1772,6896,10980,1772
1,12,19,21407,3945,501,1772,6896,10980,1772
1,4,32,21407,1665,70,145,205,783,145
1,2,47,21407,1295,278,147,22,384,147
1,3,10,21407,4424,119,335,56,2690,335
1,6,16,21407,1665,79,342,211,1294,342
1,31,14,21407,2547,304,3583,2,10980,3583
1,8,9,21407,3945,183,196,6896,10980,196
1,839,23,21407,4424,601,4649,1244,10980,4649
1,204,4,140,140,119,335,4,2690,335
1,239,51,21407,3945,300,216,219,2690,216
1,2,25,21407,1295,278,4649,6896,10980,4649
1,16,26,21407,1665,85,473,66,2690,473
1,13,16,21407,4424,124,473,66,2690,473
0,37,3,295,81,763,1256,530,2636,1256
1,72,22,498,231,107,4649,9,10980,4649
1,1,50,21407,2547,83,3583,6896,10980,3583
1,136,6,21407,971,37,152,2,241,152
1,1,7,21407,2547,230,597,153,1287,597
1,2,28,721,721,79,38,155,294,38
1,9,39,21407,3945,183,289,4,465,289
1,157,9,375,321,159,14,222,181,14
1,45,12,21407,2641,195,1,219,1287,1
1,18,2,400,67,431,165,351,2400,165
1,3,6,21407,4424,601,4649,6896,10980,4649
1,14,28,21407,4424,366,1772,33,10980,1772
1,21,4,79,79,206,4649,6896,10980,4649
1,11,35,21407,2547,304,4649,282,10980,4649
0,76,13,21407,1796,138,99,5,2690,99
1,34,20,21407,4424,21,172,13,2690,172
1,10,11,21407,1295,267,4649,6896,10980,4649
1,13,9,60,50,1135,1256,3,2636,1256
1,23,7,107,107,659,329,10,1318,329
1,83,9,742,253,91,164,5,1318,164
1,68,16,398,396,15,176,9,892,176
1,295,7,21407,3945,140,172,33,2690,172
1,9,17,57,57,16,1772,4,10980,1772
1,484,20,21407,4424,162,1772,6896,10980,1772
1,239,15,21407,3945,159,337,27,783,337
1,1,3,129,129,185,1,1,2400,1
1,295,54,21407,1567,325,774,121,2400,774
1,6,21,21407,3945,543,199,321,2690,199
1,40,12,742,489,366,3583,6896,10980,3583
1,2,2,398,396,24,8,2,23,8
1,2,9,21407,3945,140,159,127,2690,159
1,2,27,21407,4424,601,597,9,1287,597
1,20,32,21407,2641,109,4649,6896,10980,4649
1,295,15,21407,1665,56,49,27,892,49
1,2,34,21407,1567,325,566,665,1287,566
1,91,4,184,184,185,82,14,362,82
1,113,1,21407,1567,3,111,121,2400,111
1,1,14,21407,1665,415,3583,6896,10980,3583
1,239,33,21407,4424,300,175,25,892,175
1,6,22,21407,3945,122,1772,6896,10980,1772
1,404,11,398,396,129,473,11,2690,473
1,299,7,21407,3945,24,116,154,493,116
1,9,18,21407,2641,30,3583,6896,10980,3583
0,839,15,21407,1796,109,185,324,449,185
0,484,1,375,321,197,7,1,49,7
1,19,152,21407,4424,501,521,13,941,521
1,53,48,21407,2547,139,3583,1244,10980,3583
1,167,29,21407,3945,151,774,23,2400,774
1,31,44,21407,4424,501,4649,6896,10980,4649
1,1,2,129,129,1135,1043,128,2636,1043
1,484,39,21407,3945,183,4649,6896,10980,4649
1,3,54,21407,1567,325,137,68,10980,137
1,6,17,21407,1295,278,4649,6896,10980,4649
1,409,16,21407,4424,124,473,66,2690,473
0,48,23,21407,4424,157,63,23,2690,63
1,3,25,21407,2641,267,774,35,2400,774
1,404,4,21407,1295,125,1772,6896,10980,1772
1,19,10,334,334,79,216,10,2690,216
1,14,26,21407,4424,183,521,22,941,521
1,30,22,21407,4424,45,33,8,783,33
1,1,5,184,184,65,5,7,19,5
1,409,37,21407,4424,317,4649,6896,10980,4649
1,7,6,171,171,1135,1043,128,2636,1043
1,2,30,21407,4424,525,274,17,10980,274
1,91,12,21407,2641,195,467,219,892,467
1,157,10,21407,4424,109,467,10,892,467
1,3,34,140,140,119,376,10,2690,376
1,46,12,21407,2641,267,121,14,1294,121
1,404,2,21407,3945,601,4649,1244,10980,4649
1,2,8,334,334,304,159,127,2690,159
0,19,3,21407,181,46,110,8,1318,110
0,4,8,21407,971,84,566,665,1287,566
1,5,27,21407,4424,179,159,127,2690,159
1,1,27,21407,2641,435,154,21,1294,154
1,839,11,21407,4424,366,4649,52,10980,4649
1,2,25,21407,1295,278,4649,6896,10980,4649
1,2,6,21407,3945,543,3583,6896,10980,3583
1,1,38,721,721,296,3583,6896,10980,3583
1,1,24,21407,971,128,3583,6896,10980,3583
1,6,49,21407,1796,84,3583,6896,10980,3583
1,9,56,721,721,147,288,96,783,288
1,18,4,118,63,191,1043,530,2636,1043
1,32,18,21407,2547,532,4649,6896,10980,4649
1,62,3,498,231,18,68,7,150,68
1,19,15,21407,1665,70,11,4,449,11
1,220,5,86,86,1135,1256,333,2636,1256
1,1,62,21407,3945,190,289,246,465,289
1,2,24,21407,4424,366,3583,6896,10980,3583
1,76,40,21407,3945,501,92,80,190,92
1,839,25,21407,4424,366,1772,6896,10980,1772
1,2,34,21407,1665,81,4649,6896,10980,4649
1,5,25,21407,1665,178,4649,6896,10980,4649
1,17,1,56,35,763,806,670,2400,806
1,1,9,721,721,296,4649,6896,10980,4649
1,295,44,21407,1796,27,36,24,241,36
1,1,2,44,44,13,384,4,2400,384
1,1,15,21407,4424,157,337,8,783,337
1,1,21,21407,1295,102,4649,6896,10980,4649
1,4,5,56,35,763,1043,161,2636,1043
1,32,35,21407,2547,304,3583,1244,10980,3583
1,1,13,129,129,1135,1043,30,2636,1043
1,21,1,144,144,659,394,244,1318,394
1,1,152,21407,4424,501,218,419,941,218
1,247,21,21407,4424,34,116,154,493,116
1,1,8,21407,2641,195,83,20,783,83
1,18,13,21407,2641,95,288,205,783,288
1,8,2,12,12,431,1256,23,2636,1256
1,3,19,21407,4424,97,1772,6896,10980,1772
1,1,29,21407,1567,305,4649,6896,10980,4649
1,5,8,58,58,9,3583,6896,10980,3583
1,13,9,80,80,1135,1256,351,2636,1256
1,1,11,21407,4424,304,34,8,111,34
1,3,2,30,30,185,8,1,160,8
1,295,15,21407,4424,148,211,194,1294,211
1,18,5,21407,2641,20,342,211,1294,342
1,79,18,334,334,143,337,11,783,337
1,45,6,221,221,1135,1256,27,2636,1256
1,161,27,21407,2641,435,597,202,1287,597
1,2,8,57,57,87,4649,6896,10980,4649
1,3,4,742,253,91,394,244,1318,394
1,12,18,21407,2641,167,48,116,783,48
1,16,1,94,185,659,115,1,1318,115
1,239,4,38,38,296,238,98,689,238
1,7,44,21407,397,325,774,311,2400,774
0,11,15,21407,4424,109,473,66,2690,473
0,4,13,21407,1796,83,83,16,783,83
1,192,4,21407,397,115,18,13,98,18
0,1,39,21407,2641,95,3583,1244,10980,3583
1,87,7,107,107,659,329,10,1318,329
1,13,2,21407,2641,15,566,2,1287,566
1,5,14,21407,4424,90,566,665,1287,566
1,2,47,21407,1295,64,201,225,384,201
1,57,9,742,253,659,115,5,1318,115
1,4,5,742,253,296,238,36,689,238
1,19,21,398,396,543,473,16,2690,473
1,5,15,375,321,43,3583,6896,10980,3583
1,45,32,21407,2641,109,597,665,1287,597
1,247,13,21407,1567,145,467,96,892,467
1,2,47,21407,2641,52,4649,1244,10980,4649
1,32,5,400,67,431,165,670,2400,165
1,40,12,21407,2547,42,344,153,783,344
1,6,3,21407,2547,19,36,3,241,36
1,32,4,21407,2547,304,201,225,384,201
1,3,57,21407,2547,82,115,179,412,115
1,299,10,149,149,296,165,3,2400,165
1,1,25,21407,4424,366,3583,6896,10980,3583
1,4,24,21407,4424,114,337,8,783,337
1,167,15,21407,3945,543,147,6,493,147
1,126,43,21407,4424,304,25,28,892,25
1,1,67,21407,1567,160,289,29,465,289
0,29,4,275,257,659,199,174,1318,199
1,9,41,21407,2547,230,4649,6896,10980,4649
1,839,25,21407,4424,601,185,324,449,185
1,11,1,86,86,1135,806,16,2400,806
1,5,5,171,171,1135,8,22,2636,8
1,3,46,21407,3945,143,4649,6896,10980,4649
1,3,17,375,321,140,86,153,2400,86
1,204,19,21407,3945,543,376,222,2690,376
1,2,24,21407,4424,42,3583,6896,10980,3583
1,1,37,21407,4424,525,1772,6896,10980,1772
1,15,16,21407,1295,278,3583,6896,10980,3583
1,68,39,721,721,296,1772,96,10980,1772
1,13,10,400,10,211,135,11,941,135
1,1,17,375,321,55,3583,6896,10980,3583
1,34,8,295,113,597,196,25,293,196
1,48,6,269,74,546,806,670,2400,806
1,2,3,400,295,18,10,2,111,10
0,1,23,21407,3945,37,566,665,1287,566
1,47,7,21407,4424,501,597,8,1287,597
1,1,11,21407,2547,304,176,7,892,176
1,28,22,21407,4424,525,4649,6896,10980,4649
1,299,24,21407,3945,183,274,21,10980,274
1,67,6,269,74,597,15,13,39,15
1,3,9,21407,3945,52,4649,6896,10980,4649
1,66,38,21407,3945,179,335,321,2690,335
1,7,17,21407,2641,267,774,41,2400,774
1,37,23,234,151,1135,1043,30,2636,1043
1,2,62,21407,3945,543,3583,6896,10980,3583
1,26,5,276,138,597,806,670,2400,806
1,18,71,21407,1665,103,4649,6896,10980,4649
1,12,18,282,209,46,394,81,1318,394
0,45,45,21407,4424,148,342,211,1294,342
1,6,8,21407,2547,532,774,311,2400,774
1,299,9,400,295,50,3583,38,10980,3583
1,1,6,21407,1295,267,201,225,384,201
1,1,21,21407,1665,136,4649,6896,10980,4649
1,29,6,21407,181,75,329,174,1318,329
1,6,16,21407,2641,231,3583,6896,10980,3583
1,53,27,74,73,597,1043,17,2636,1043
1,2,22,375,321,206,384,6896,2400,384
1,7,11,21407,3945,601,597,153,1287,597
1,8,12,94,94,597,1043,11,2636,1043
1,2,16,21407,4424,601,274,199,10980,274
1,1,54,21407,2547,230,4649,6896,10980,4649
1,839,10,112,185,435,1772,6896,10980,1772
1,81,8,282,73,659,164,174,1318,164
1,157,1,21407,1665,138,11,222,78,11
1,33,10,295,93,597,1043,161,2636,1043
1,484,11,21407,2547,532,521,419,941,521
1,1,4,21407,2641,20,347,123,1294,347
1,7,17,21407,3945,143,43,5,150,43
1,16,3,400,67,431,165,351,2400,165
1,12,8,112,185,95,337,6,783,337
1,839,10,375,321,90,196,199,10980,196
1,2,4,79,79,206,4649,6896,10980,4649
1,1,35,21407,1295,122,3583,6896,10980,3583
1,2,3,18,18,185,16,24,362,16
1,204,3,721,721,46,19,12,111,19
1,2,21,21407,4424,50,335,10,2690,335
1,4,22,21407,1665,136,104,12,176,104
1,72,60,21407,1796,60,3583,91,10980,3583
1,1,8,400,295,317,344,10,783,344
1,1,18,398,396,68,45,9,689,45
1,839,5,21407,3945,98,36,13,146,36
0,9,4,62,56,546,1256,530,2636,1256
1,404,11,160,84,35,473,95,2690,473
1,8,35,21407,1295,45,1772,96,10980,1772
1,1,4,21407,397,24,8,4,23,8
1,18,11,21407,4424,68,3583,6896,10980,3583
1,104,6,21407,2547,8,82,16,362,82
1,3,7,21407,3945,159,3583,6896,10980,3583
0,51,14,21407,4424,109,147,33,493,147
1,22,33,21407,3945,128,199,321,2690,199
1,236,12,79,79,206,467,80,892,467
1,2,7,21407,2547,230,185,324,449,185
1,1,38,21407,1665,231,289,246,465,289
1,6,16,21407,1665,79,347,9,1294,347
1,19,37,21407,1665,178,3583,6896,10980,3583
1,24,4,21407,1567,92,111,17,2400,111
1,239,6,21407,4424,119,376,6,2690,376
1,20,29,21407,1796,128,159,127,2690,159
1,1,10,21407,1665,56,152,6,241,152
1,1,10,149,123,546,1256,530,2636,1256
1,1,7,21407,1295,23,1772,1244,10980,1772
1,22,6,129,129,1135,342,4,1294,342
1,3,20,21407,4424,292,342,96,1294,342
1,4,57,21407,2547,154,60,29,412,60
1,87,4,21407,3945,159,597,153,1287,597
1,1,10,66,66,132,33,194,108,33
1,53,35,21407,2641,83,774,3,2400,774
1,404,25,21407,1295,278,4649,1244,10980,4649
1,15,6,742,253,68,86,121,2400,86
1,1,14,291,291,95,82,15,107,82
1,2,16,21407,4424,601,3583,6896,10980,3583
1,22,27,21407,4424,525,1772,116,10980,1772
1,18,13,94,185,659,115,4,1318,115
1,113,2,21407,4424,304,774,41,2400,774
0,7,11,275,257,284,199,65,1318,199
1,1,3,400,295,267,121,3,1294,121
1,220,4,62,56,546,1256,530,2636,1256
1,1,152,21407,4424,525,201,225,384,201
1,5,20,15,181,296,238,24,689,238
1,839,1,21407,3945,52,774,3,2400,774
1,4,3,12,12,431,37,37,2400,37
1,1,16,21407,1567,47,1772,6896,10980,1772
1,157,37,21407,3945,543,199,321,2690,199
1,8,21,21407,1295,102,3583,6896,10980,3583
1,4,7,21407,1665,72,3583,6896,10980,3583
1,3,57,21407,1796,90,521,19,941,521
1,32,8,282,209,46,164,174,1318,164
1,9,17,21407,971,124,4649,6896,10980,4649
1,57,1,36,36,763,806,670,2400,806
1,404,29,21407,1796,128,159,127,2690,159
1,163,27,21407,4424,129,335,93,2690,335
1,1,19,21407,2547,230,597,665,1287,597
1,4,32,21407,2641,195,201,225,384,201
1,161,32,21407,2641,109,274,199,10980,274
1,163,15,21407,4424,129,774,311,2400,774
1,45,4,21407,2641,267,342,10,1294,342
0,5,2,498,231,113,8,1,146,8
1,23,23,282,209,296,238,98,689,238
1,39,1,21407,397,5,4,2,362,4
1,2,57,21407,1796,415,4649,6896,10980,4649
1,2,20,21407,3945,140,199,321,2690,199
1,20,8,21407,10,211,196,65,293,196
1,1,10,21407,3945,159,81,12,1287,81
1,5,71,21407,1665,66,4649,6896,10980,4649
1,1,12,21407,2547,532,337,153,783,337
1,16,19,21407,4424,124,216,15,2690,216
1,79,37,21407,3945,7,172,34,2690,172
1,19,12,94,94,102,335,39,2690,335
1,2,26,21407,1295,267,3583,199,10980,3583
1,127,13,184,184,763,1256,351,2636,1256
1,409,19,21407,3945,543,376,222,2690,376
1,8,43,21407,2547,304,4649,6896,10980,4649
1,3,48,21407,2547,139,289,246,465,289
1,3,21,21407,2641,167,33,116,783,33
1,91,13,21407,2547,304,185,324,449,185
1,6,44,21407,4424,501,1772,29,10980,1772
1,409,8,400,295,300,159,127,2690,159
1,45,1,21407,2641,109,18,1,224,18
1,9,2,21407,2547,73,58,181,176,58
1,15,7,742,489,525,3583,56,10980,3583
1,2,7,21407,1796,251,3583,6,10980,3583
1,40,8,21407,1796,28,124,8,294,124
1,839,4,79,79,87,4649,6896,10980,4649
1,2,7,21407,1796,251,3583,6896,10980,3583
1,113,11,19,19,659,329,4,1318,329
0,65,6,276,138,45,384,1,2400,384
1,45,9,21407,3945,148,154,211,1294,154
1,409,21,498,267,60,3583,23,10980,3583
1,409,17,21407,3945,162,4649,6896,10980,4649
1,91,19,21407,4424,140,1772,6896,10980,1772
1,17,22,21407,1796,90,4649,6896,10980,4649
1,409,2,21407,1665,103,175,96,892,175
1,5,15,21407,1665,70,774,311,2400,774
1,404,27,21407,3945,159,1772,6896,10980,1772
1,5,10,239,239,138,103,10,2690,103
1,4,47,21407,2641,52,4649,6896,10980,4649
1,1,50,21407,2547,83,3583,6896,10980,3583
1,2,20,21407,3945,140,172,33,2690,172
1,4,21,94,94,659,164,22,1318,164
1,46,21,21407,4424,300,110,68,2690,110
1,1,38,721,721,296,4649,6896,10980,4649
1,2,3,400,295,18,10,5,111,10
1,1,21,21407,1295,125,4649,6896,10980,4649
1,87,13,57,57,124,4649,6896,10980,4649
1,20,5,160,84,147,196,65,293,196
1,1,16,21407,4424,87,1772,128,10980,1772
1,3,44,21407,2547,82,224,11,412,224
1,16,23,21407,1796,251,185,324,449,185
1,65,9,190,190,284,199,16,1318,199
1,27,13,21407,2641,267,347,6,1294,347
1,3,4,149,149,150,27,3,181,27
1,25,4,80,80,1135,1256,351,2636,1256
